Date,open,high,low,code,close,pctChg,volume,amount,turn
1990-12-19,96.0500,99.9800,95.7900,sh.000001,99.98,0.000000,1260,494000.0000,0.000000
1990-12-20,104.3000,104.3900,99.9800,sh.000001,104.39,0.000000,19700,84992.0000,0.000000
1990-12-21,109.0700,109.1300,103.7300,sh.000001,109.13,4.540663,2800,16096.0000,0.000000
1990-12-24,113.5700,114.5500,109.1300,sh.000001,114.55,4.966559,3200,31063.0000,0.000000
1990-12-25,120.0900,120.2500,114.5500,sh.000001,120.25,4.975990,1500,6510.0000,0.000000
1990-12-26,125.2700,125.2700,120.2500,sh.000001,125.27,4.174634,10000,53730.0000,0.000000
1990-12-27,125.2700,125.2800,125.2700,sh.000001,125.28,0.007984,6600,104644.0000,0.000000
1990-12-28,126.3900,126.4500,125.2800,sh.000001,126.45,0.933907,10800,88031.0000,0.000000
1990-12-31,126.5600,127.6100,126.4800,sh.000001,127.61,0.917362,7800,60030.0000,0.000000
1991-01-02,127.6100,128.8400,127.6100,sh.000001,128.84,0.963871,9100,59098.0000,0.000000
1991-01-03,128.8400,130.1400,128.8400,sh.000001,130.14,1.009006,14100,93918.0000,0.000000
1991-01-04,131.2700,131.4400,130.1400,sh.000001,131.44,0.998927,42000,261904.0000,0.000000
1991-01-07,131.9900,132.0600,131.4500,sh.000001,132.06,0.471694,21700,141737.0000,0.000000
1991-01-08,132.6200,132.6800,132.0600,sh.000001,132.68,0.469480,292600,1806867.0000,0.000000
1991-01-09,133.3000,133.3400,132.6800,sh.000001,133.34,0.497440,560300,3228719.0000,0.000000
1991-01-10,133.9300,133.9700,133.3400,sh.000001,133.97,0.472480,999000,5399457.0000,0.000000
1991-01-11,134.6100,134.6100,134.5100,sh.000001,134.6,0.470258,1332700,7115732.0000,0.000000
1991-01-14,134.1100,135.1900,134.1100,sh.000001,134.67,0.052000,1253000,6883604.0000,0.000000
1991-01-15,134.2100,134.7400,134.1900,sh.000001,134.74,0.051984,144600,1010364.0000,0.000000
1991-01-16,134.1900,134.7400,134.1400,sh.000001,134.24,-0.371085,50900,270133.0000,0.000000
1991-01-17,133.6700,134.2500,133.6500,sh.000001,134.25,0.007445,65800,334238.0000,0.000000
1991-01-18,133.7000,134.2500,133.6700,sh.000001,134.24,-0.007445,300400,1570833.0000,0.000000
1991-01-21,133.7000,134.2400,133.6600,sh.000001,134.24,0.000000,205100,1029305.0000,0.000000
1991-01-22,133.7200,134.2400,133.6600,sh.000001,133.72,-0.387369,35400,180787.0000,0.000000
1991-01-23,133.1700,133.7200,133.1400,sh.000001,133.17,-0.411309,109500,575928.0000,0.000000
1991-01-24,132.6100,133.1700,132.5700,sh.000001,132.61,-0.420513,185700,917392.0000,0.000000
1991-01-25,132.0500,132.0700,132.0300,sh.000001,132.05,-0.422289,344700,1722246.0000,0.000000
1991-01-28,131.4600,131.5500,131.4600,sh.000001,131.46,-0.446798,510700,2565573.0000,0.000000
1991-01-29,130.9500,130.9700,130.9500,sh.000001,130.95,-0.387958,138700,710741.0000,0.000000
1991-01-30,130.4400,130.9500,130.4100,sh.000001,130.44,-0.389457,52700,260701.0000,0.000000
1991-01-31,129.9300,130.4600,129.9300,sh.000001,129.97,-0.360320,51000,244662.0000,0.000000
1991-02-01,129.5000,129.9700,129.4500,sh.000001,129.51,-0.353933,34500,140871.0000,0.000000
1991-02-04,129.0500,129.5800,129.0500,sh.000001,129.05,-0.355178,55300,273652.0000,0.000000
1991-02-05,128.5600,128.5800,128.5300,sh.000001,128.58,-0.364201,856200,4250084.0000,0.000000
1991-02-06,129.1300,129.1500,128.0600,sh.000001,129.14,0.435525,664100,3847268.0000,0.000000
1991-02-07,129.7400,129.7900,129.1400,sh.000001,129.79,0.503325,213300,1504814.0000,0.000000
1991-02-08,130.3600,130.3900,129.7900,sh.000001,130.38,0.454589,123400,879868.0000,0.000000
1991-02-11,130.9200,130.9700,130.3900,sh.000001,130.97,0.452520,931700,4834876.0000,0.000000
1991-02-12,131.5400,131.5600,130.9700,sh.000001,131.35,0.290146,377400,1986983.0000,0.000000
1991-02-13,131.9300,131.9300,131.3500,sh.000001,131.92,0.433949,115200,673738.0000,0.000000
1991-02-14,132.5300,132.5300,132.3000,sh.000001,132.53,0.462402,362400,1883072.0000,0.000000
1991-02-19,133.1200,133.1400,133.0800,sh.000001,133.13,0.452732,174800,1216176.0000,0.000000
